手,shǒu,shou,3,手,lv1
气,qì,qi,4,气,lv1
毛,máo,mao,2,毛,lv1
壬,rén,ren,2,士,lv1
升,shēng,sheng,1,十,lv1
夭,yāo,yao,1,大,lv1
长,cháng,chang,2,长,lv1
长,zhǎng,zhang,3,长,lv1
仁,rén,ren,2,亻,lv1
什,shí,shi,2,亻,lv1
什,shén,shen,2,亻,lv1
片,piàn,pian,4,片,lv1
片,piān,pian,1,片,lv1
仆,pū,pu,1,亻,lv1
仆,pú,pu,2,亻,lv1
化,huà,hua,4,亻,lv1
化,huā,hua,1,亻,lv1
仇,chóu,chou,2,亻,lv1
仇,qiú,qiu,2,亻,lv1
币,bì,bi,4,巾,lv1
仍,réng,reng,2,亻,lv1
仅,jǐn,jin,3,亻,lv1
仅,jìn,jin,4,亻,lv1
斤,jīn,jin,1,斤,lv1
爪,zhǎo,zhao,3,爪,lv1
爪,zhuǎ,zhua,3,爪,lv1
反,fǎn,fan,3,又,lv1
介,jiè,jie,4,人,lv1
父,fù,fu,4,父,lv1
父,fǔ,fu,3,父,lv1
从,cóng,cong,2,人,lv1
从,zòng,zong,4,人,lv1
仑,lún,lun,2,人,lv1
今,jīn,jin,1,人,lv1
凶,xiōng,xiong,1,凵,lv1
分,fēn,fen,1,刀,lv1
分,fèn,fen,4,刀,lv1
乏,fá,fa,2,丿,lv1
公,gōng,gong,1,八,lv1
仓,cāng,cang,1,人,lv1
月,yuè,yue,4,月,lv1
氏,shì,shi,4,氏,lv1
氏,zhī,zhi,1,氏,lv1
勿,wù,wu,4,勹,lv1
欠,qiàn,qian,4,欠,lv1
风,fēng,feng,1,风,lv1
风,fěng,feng,3,风,lv1
丹,dān,dan,1,丿,lv1
匀,yún,yun,2,勹,lv1
乌,wū,wu,1,丿,lv1
勾,gōu,gou,1,勹,lv1
勾,gòu,gou,4,勹,lv1
凤,fèng,feng,4,几,lv1
六,liù,liu,4,八,lv1
六,lù,lu,4,八,lv1
文,wén,wen,2,文,lv1
亢,kàng,kang,4,亠,lv1
方,fāng,fang,1,方,lv1
火,huǒ,huo,3,火,lv1
为,wéi,wei,2,丶,lv1
为,wèi,wei,4,丶,lv1
斗,dǒu,dou,3,斗,lv1
斗,dòu,dou,4,斗,lv1
忆,yì,yi,4,忄,lv1
计,jì,ji,4,讠,lv1
订,dìng,ding,4,讠,lv1
户,hù,hu,4,户,lv1
认,rèn,ren,4,讠,lv1
冗,rǒng,rong,3,冖,lv1
讥,jī,ji,1,讠,lv1
心,xīn,xin,1,心,lv1
尺,chǐ,chi,3,尸,lv1
尺,chě,che,3,尸,lv1
引,yǐn,yin,3,弓,lv1
丑,chǒu,chou,3,一,lv1
巴,bā,ba,1,巳,lv1
孔,kǒng,kong,3,子,lv1
队,duì,dui,4,阝,lv1
办,bàn,ban,4,力,lv1
以,yǐ,yi,3,人,lv1
允,yǔn,yun,3,儿,lv1
予,yú,yu,2,乙,lv1
予,yǔ,yu,3,乙,lv1
邓,dèng,deng,4,阝,lv1
劝,quàn,quan,4,力,lv1
双,shuāng,shuang,1,又,lv1
书,shū,shu,1,乙,lv1
幻,huàn,huan,4,幺,lv1
玉,yù,yu,4,玉,lv1
刊,kān,kan,1,刂,lv1
未,wèi,wei,4,木,lv1
末,mò,mo,4,木,lv1
示,shì,shi,4,示,lv1
击,jī,ji,1,凵,lv1
打,dǎ,da,3,扌,lv1
打,dá,da,2,扌,lv1
巧,qiǎo,qiao,3,工,lv1
正,zhèng,zheng,4,止,lv1
正,zhēng,zheng,1,止,lv1
扑,pū,pu,1,扌,lv1
卉,huì,hui,4,十,lv1
扒,bā,ba,1,扌,lv1
扒,pá,pa,2,扌,lv1
功,gōng,gong,1,力,lv1
扔,rēng,reng,1,扌,lv1
去,qù,qu,4,土,lv1
甘,gān,gan,1,甘,lv1
世,shì,shi,4,一,lv1
艾,ài,ai,4,艹,lv1
艾,yì,yi,4,艹,lv1
古,gǔ,gu,3,口,lv1
节,jié,jie,2,艹,lv1
节,jiē,jie,1,艹,lv1
本,běn,ben,3,木,lv1
术,shù,shu,4,木,lv1
术,shú,shu,2,木,lv1
术,zhú,zhu,2,木,lv1
可,kě,ke,3,口,lv1
可,kè,ke,4,口,lv1
丙,bǐng,bing,3,一,lv1
左,zuǒ,zuo,3,工,lv1
厉,lì,li,4,厂,lv1
石,shí,shi,2,石,lv1
石,dàn,dan,4,石,lv1
右,yòu,you,4,口,lv1
布,bù,bu,4,巾,lv1
夯,hāng,hang,1,大,lv1
夯,bèn,ben,4,大,lv1
戊,wù,wu,4,戈,lv1
龙,lóng,long,2,龙,lv1
平,píng,ping,2,干,lv1
灭,miè,mie,4,火,lv1
轧,gá,ga,2,车,lv1
轧,yà,ya,4,车,lv1
轧,zhá,zha,2,车,lv1
东,dōng,dong,1,一,lv1
卡,qiǎ,qia,3,丨,lv1
卡,kǎ,ka,3,丨,lv1
北,běi,bei,3,匕,lv1
北,bèi,bei,4,匕,lv1
占,zhān,zhan,1,卜,lv1
占,zhàn,zhan,4,卜,lv1
凸,tū,tu,1,凵,lv1
卢,lú,lu,2,卜,lv1
业,yè,ye,4,一,lv1
旧,jiù,jiu,4,日,lv1
帅,shuài,shuai,4,巾,lv1
归,guī,gui,1,彐,lv1
旦,dàn,dan,4,日,lv1
目,mù,mu,4,目,lv1
且,qiě,qie,3,一,lv1
且,jū,ju,1,一,lv1
叶,yè,ye,4,口,lv1
叶,xié,xie,2,口,lv1
甲,jiǎ,jia,3,田,lv1
申,shēn,shen,1,田,lv1
叮,dīng,ding,1,口,lv1
电,diàn,dian,4,田,lv1
号,hào,hao,4,口,lv1
号,háo,hao,2,口,lv1
田,tián,tian,2,田,lv1
由,yóu,you,2,田,lv1
只,zhī,zhi,1,口,lv1
只,zhǐ,zhi,3,口,lv1
叭,bā,ba,1,口,lv1
史,shǐ,shi,3,口,lv1
央,yāng,yang,1,大,lv1
兄,xiōng,xiong,1,儿,lv1
叽,jī,ji,1,口,lv1
叼,diāo,diao,1,口,lv1
叫,jiào,jiao,4,口,lv1
叩,kòu,kou,4,口,lv1
叨,tāo,tao,1,口,lv1
叨,dāo,dao,1,口,lv1
另,lìng,ling,4,口,lv1
叹,tàn,tan,4,口,lv1
冉,rǎn,ran,3,冂,lv1
皿,mǐn,min,3,皿,lv1
凹,āo,ao,1,凵,lv1
凹,wā,wa,1,凵,lv1
囚,qiú,qiu,2,囗,lv1
四,sì,si,4,囗,lv1
生,shēng,sheng,1,生,lv1
矢,shǐ,shi,3,矢,lv1
失,shī,shi,1,大,lv1
乍,zhà,zha,4,丿,lv1
禾,hé,he,2,禾,lv1
丘,qiū,qiu,1,丿,lv1
付,fù,fu,4,亻,lv1
仗,zhàng,zhang,4,亻,lv1
代,dài,dai,4,亻,lv1
仙,xiān,xian,1,亻,lv1
们,mén,men,2,亻,lv1
仪,yí,yi,2,亻,lv1
白,bái,bai,2,白,lv1
仔,zī,zi,1,亻,lv1
仔,zǐ,zi,3,亻,lv1
仔,zǎi,zai,3,亻,lv1
他,tā,ta,1,亻,lv1
斥,chì,chi,4,斤,lv1
瓜,guā,gua,1,瓜,lv1
乎,hū,hu,1,丿,lv1
丛,cóng,cong,2,一,lv1
